Prediction;Acer_glabra;Acer_grandidentatum;Acer_negundo;Acer_pilosum;Acer_platanoides;Acer_saccharinum;Acer_saccharum;Acer_sieboldianum;Acer_tataricum;Acer_ukurunduense;Aesculus_hippocastanum;Aesculus_x hybride;Alnus_glutinosa;Alnus_incana;Ambrosia_artemisiifolia;Amelanchier_canadensis;Amelanchier_laevis;Betula_alleghaniensis;Betula_nigra;Betula_papyrifera;Betula_pendula;Betula_populifolia;Carpinus_betulus;Carpinus_caroliniana;Carya_cordiformis;Carya_glabra;Carya_ovata;Celtis_occidentalis;Corylus_avellana;Corylus_colurna;Corylus_cornuta;Cupressaceae_others;Elaeagnus_angustifolia;Fraxinus_americana;Fraxinus_pennsylvannica;Ginkgo_biloba;Gleditsia_triacanthos;Juglans_cinera;Juglans_nigra;Juniperus_chinensis;Juniperus_communis;Ligustrum_vulgare;Malus_baccata;Malus_pumila;Malus_spectabilis;Ostrya_virginiana;Picea_abies;Pinus_banksiana;Pinus_nigra;Pinus_parviflora;Pinus_ponderosa;Pinus_resinosa;Pinus_thunbergii;Populus_spp;Prunus_padus;Prunus_serotina;Prunus_serrulata;Prunus_virginiana;"Pyrus_calleryana ""chantecler""";Pyrus_ussuriensis;Quercus_alba;Quercus_bicolor;Quercus_macrocarpa;Quercus_palustris;Quercus_robur;Quercus_rubra;Robinia_pseudoacacia;Salix_cinerea;Salix_nigra;Salix_udensis;Sorbus_intermedia;Syringa_reticulata;Syringa_villosa;Syringa_vulgaris;Syringa_x chinensis;Syringa_x prestoniae;Taxus_canadensis;Taxus_cuspidata;Tilia_americana;Tilia_cordata;Ulmus_americana;Ulmus_bergmanianna;Ulmus_glabra;Ulmus_minor;Ulmus_propinqua;Ulmus_pumila
Juglans_cinera;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;3;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;1;0;0;0;0;0
Juglans_nigra;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;5;0;0;0;0;10;0;0;0;15;0;0;1;0;0;0;0;1;0;1;0;239;0;0;1;0;0;3;0;0;1;0;5;0;0;0;0;1;0;1;0;1;0;1;0;2;6;1;4;0;0;0;0;1;0;3;4;2;0;1;0;0;0;0;0;0;0;1;0
Juniperus_chinensis;5;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;3;0;0;0;0;222;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;6;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0
Juniperus_communis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ligustrum_vulgare;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;270;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;4;0;0;0;0;0;0;0;0;0;0
Malus_baccata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;265;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;11;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0
Malus_pumila;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;234;0;0;2;0;0;0;0;1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malus_spectabilis;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;2;0;0;2;1;0;2;0;0;0;0;1;0;0;1;0;0;8;0;1;0;0;0;1;4;0;0;0;0;251;0;0;0;1;1;0;0;0;0;5;1;3;2;0;0;1;1;0;0;0;2;1;0;0;0;2;2;2;1;0;0;2;0;1;1;0;0;5;0;0;0
Ostrya_virginiana;0;0;0;0;0;0;0;1;0;0;0;2;0;0;3;0;4;0;0;0;1;0;0;6;0;0;5;0;0;0;0;0;0;0;0;4;8;0;0;2;1;0;0;0;0;222;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;3;0;1;6;2;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Picea_abies;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;241;5;1;9;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
